location_id,location_name,cause,intervention,population_age,predicted_icer_usd,predicted_icer_usd_median,predicted_icer_usd_lower,predicted_icer_usd_upper,predicted_icer_usd_25th_per,predicted_icer_usd_75th_per,region_min_icer,country_min_icer,country_max_icer,region_max_icer,total_ratio_count,kw_ratio_count,dalys_per_100k,prevalence_per_100k,burden_total,prevalence_total,input_per_year_per_test_cost,GDP_2019usd,efficacy,sensitivity,specificity,region_name,super_region_name,Status,u_l_ratio,intervention_type,cause_intervention,gdp_threshold_ochelak,gdp_threshold_pichon
160,afghanistan,Syphilis,Antental syphilis screening,0 to 11 m,20,18,5,52,12,25,,,,,,,2302,0,32545,0,0.6,511,,86,99,north africa and middle east,north africa and middle east,eligible,9.67,prevention,Syphilis prevention,0.43,0.73
160,afghanistan,Malaria,IPT for pregnant women,0 to 11 m,51,42,14,132,29,64,,,,,,,266,895,3765.565744,12649.60793,3.6,511,61,,,north africa and middle east,north africa and middle east,eligible,9.38,prevention,Malaria prevention,0.43,0.73
160,afghanistan,Malaria,IPT for infants,0 to 11 m,99,82,28,267,58,121,,,,,,,266,895,3765.565744,12649.60793,1.2,511,30,,,north africa and middle east,north africa and middle east,eligible,9.67,prevention,Malaria prevention,0.43,0.73
160,afghanistan,Tuberculosis,Chemotherapy for DS-TB,all ages,122,46,3,669,20,113,,,,,,,457,15758,175064.5,6031941.9,11.27,511,93,,,north africa and middle east,north africa and middle east,eligible,196.74,prevention,Tuberculosis prevention,0.43,0.73
160,afghanistan,Malaria,Malaria vaccine,0 to 4 y,241,207,69,565,142,310,,,,,,,138,1653,9177.851874,109812.9903,8,511,36,,,north africa and middle east,north africa and middle east,eligible,8.23,prevention,Malaria prevention,0.43,0.73
160,afghanistan,Malaria,Bed nets,all ages,555,483,161,1359,334,702,,,,,,,100,1015,38176.5159,388348.8578,0.72,511,44,,,north africa and middle east,north africa and middle east,eligible,8.42,prevention,Malaria prevention,0.43,0.73
160,afghanistan,Tuberculosis,Xpert TB test,all ages,590,424,79,2110,251,728,,,,,,,457,15758,175064.5,6031941.9,12.1,511,,64.6,99,north africa and middle east,north africa and middle east,eligible,26.7,prevention,Tuberculosis prevention,0.43,0.73
160,afghanistan,HIV/AIDS,Option B+,"women 10-49 y, 0 to 11 m",617,342,35,3085,161,723,,,,,,,404,120,5710.7,1694.5,58.2,511,93.5,,,north africa and middle east,north africa and middle east,eligible,88.38,prevention,HIV/AIDS prevention,0.43,0.73
160,afghanistan,Tuberculosis,BCG vaccine against TB,0 to 4 y,896,454,45,4319,210,1004,,,,,,,461,4222,30616.7,280526.2,0.01,511,80,,,north africa and middle east,north africa and middle east,eligible,95.35,prevention,Tuberculosis prevention,0.43,0.73
160,afghanistan,HIV/AIDS,ART for prevention,adults,1089,605,59,5194,264,1200,,,,,,,57,23,11889.6,4847,58.2,511,93.5,,,north africa and middle east,north africa and middle east,eligible,87.58,art,HIV/AIDS art,0.43,0.73
160,afghanistan,HIV/AIDS,ART for prevention,0 to 9 y,1606,856,78,7466,370,1753,,,,,,,71,2,8796.6,278.3,133.5,511,93.5,,,north africa and middle east,north africa and middle east,eligible,95.35,art,HIV/AIDS art,0.43,0.73
160,afghanistan,Tuberculosis,Preventive therapy for TB,adults,2573,1392,193,12953,712,2728,,,,,,,653,26146,137242.1,5495524,3.45,511,64,,,north africa and middle east,north africa and middle east,eligible,67.15,prevention,Tuberculosis prevention,0.43,0.73
160,afghanistan,HIV/AIDS,PREP for heterosexuals,adults,43890,24280,2123,207212,10820,47270,20686,,,20686,,,57,23,11889.6,4847,28.8,511,67,,,north africa and middle east,north africa and middle east,eligible,97.6,prevention,HIV/AIDS prevention,0.43,0.73
160,afghanistan,HIV/AIDS,PREP for MSM,adults,51731,28278,2656,254305,12925,57422,20686,,,20686,,,36,15,7610.1,3067.3,28.8,511,67,,,north africa and middle east,north africa and middle east,eligible,95.74,prevention,HIV/AIDS prevention,0.43,0.73
139,algeria,Syphilis,Antental syphilis screening,0 to 11 m,33,29,9,86,19,41,,,,,,,818,0,7078.5,0,0.6,3961,,86,99,north africa and middle east,north africa and middle east,not eligible,9.46,prevention,Syphilis prevention,1.3,0.5
139,algeria,Tuberculosis,Chemotherapy for DS-TB,all ages,122,46,3,669,20,113,,,,,,,38,9298,16091,3890756.3,11.27,3961,93,,,north africa and middle east,north africa and middle east,eligible,196.74,prevention,Tuberculosis prevention,1.3,0.5
139,algeria,Tuberculosis,Xpert TB test,all ages,1874,1332,240,7055,788,2278,,,,,,,38,9298,16091,3890756.3,12.1,3961,,64.6,99,north africa and middle east,north africa and middle east,eligible,29.44,prevention,Tuberculosis prevention,1.3,0.5
139,algeria,HIV/AIDS,Option B+,"women 10-49 y, 0 to 11 m",2283,1242,144,10454,585,2635,,,,,,,512,383,4430.4,3314.1,58.2,3961,93.5,,,north africa and middle east,north africa and middle east,not eligible,72.34,prevention,HIV/AIDS prevention,1.3,0.5
139,algeria,Malaria,IPT for pregnant women,0 to 11 m,3504,2875,845,9273,1939,4451,,,,,,,0,4,0.479509633,36.59696989,3.6,3961,61,,,north africa and middle east,north africa and middle east,not eligible,10.97,prevention,Malaria prevention,1.3,0.5
139,algeria,HIV/AIDS,ART for prevention,adults,4482,2585,282,20176,1149,5101,,,,,,,39,31,11612.6,9213.5,58.2,3961,93.5,,,north africa and middle east,north africa and middle east,not eligible,71.49,art,HIV/AIDS art,1.3,0.5
139,algeria,Tuberculosis,BCG vaccine against TB,0 to 4 y,5038,2828,330,22607,1399,6013,,,,,,,20,1865,834.3,79863.1,0.01,3961,80,,,north africa and middle east,north africa and middle east,eligible,68.42,prevention,Tuberculosis prevention,1.3,0.5
139,algeria,HIV/AIDS,ART for prevention,0 to 9 y,6446,3600,352,30619,1544,7473,,,,,,,23,3,1869.6,271.8,133.5,3961,93.5,,,north africa and middle east,north africa and middle east,not eligible,87.09,art,HIV/AIDS art,1.3,0.5
139,algeria,Malaria,IPT for infants,0 to 11 m,7122,5937,1731,20009,3848,8847,,,,,,,0,4,0.479509633,36.59696989,1.2,3961,30,,,north africa and middle east,north africa and middle east,not eligible,11.56,prevention,Malaria prevention,1.3,0.5
139,algeria,Tuberculosis,Preventive therapy for TB,adults,9364,6089,1046,41581,3492,10453,,,,,,,49,12394,14845.9,3731809.2,3.45,3961,64,,,north africa and middle east,north africa and middle east,eligible,39.77,prevention,Tuberculosis prevention,1.3,0.5
139,algeria,Malaria,Malaria vaccine,0 to 4 y,16151,13815,3993,38800,9156,21183,,,,,,,0,8,6.614318085,345.6000911,8,3961,36,,,north africa and middle east,north africa and middle east,not eligible,9.72,prevention,Malaria prevention,1.3,0.5
139,algeria,HIV/AIDS,PREP for heterosexuals,adults,35641,19630,1705,168593,8847,39040,20686,,,20686,,,39,31,11612.6,9213.5,28.8,3961,67,,,north africa and middle east,north africa and middle east,not eligible,98.9,prevention,HIV/AIDS prevention,1.3,0.5
